Age Group,Gender,Satisfaction,Platform Used,Usage Frequency,Would Recommend
36-50,Female,1,Mobile App,Monthly,No
50+,Male,4,Mobile App,Monthly,No
26-35,Female,5,Email,Rarely,No
50+,Male,3,Mobile App,Weekly,Yes
50+,Other,1,Website,Daily,Yes
18-25,Other,5,Website,Rarely,Yes
26-35,Male,4,Mobile App,Daily,Yes
26-35,Male,3,Email,Daily,Yes
26-35,Male,5,Mobile App,Weekly,Yes
50+,Other,5,Mobile App,Weekly,No
36-50,Male,5,Email,Rarely,No
26-35,Other,3,Email,Weekly,Yes
50+,Female,3,Website,Weekly,No
18-25,Other,2,Email,Rarely,No
36-50,Other,4,Website,Weekly,Yes
18-25,Female,1,Email,Monthly,No
36-50,Other,5,Mobile App,Daily,Yes
50+,Male,2,Website,Daily,Yes
Under 18,Male,1,Website,Daily,No
36-50,Other,2,Website,Daily,Yes
18-25,Male,3,Mobile App,Rarely,Yes
50+,Other,5,Mobile App,Daily,Yes
36-50,Male,1,Mobile App,Daily,Yes
Under 18,Male,1,Mobile App,Daily,Yes
Under 18,Other,1,Mobile App,Daily,Yes
26-35,Male,1,Website,Monthly,Yes
26-35,Other,1,Mobile App,Daily,Yes
18-25,Male,2,Website,Monthly,No
36-50,Male,5,Mobile App,Rarely,No
36-50,Female,3,Email,Weekly,No
26-35,Female,3,Website,Daily,Yes
36-50,Other,3,Email,Weekly,Yes
36-50,Female,3,Website,Weekly,No
Under 18,Other,2,Email,Rarely,No
26-35,Female,4,Mobile App,Weekly,No
50+,Male,5,Mobile App,Monthly,Yes
26-35,Other,1,Mobile App,Weekly,No
50+,Other,4,Website,Weekly,No
Under 18,Male,3,Email,Weekly,Yes
18-25,Other,4,Mobile App,Daily,No
36-50,Other,5,Email,Daily,Yes
Under 18,Female,1,Email,Monthly,Yes
36-50,Other,1,Mobile App,Monthly,Yes
18-25,Male,5,Mobile App,Daily,No
18-25,Female,5,Email,Monthly,No
Under 18,Female,3,Mobile App,Daily,Yes
18-25,Male,1,Mobile App,Rarely,No
50+,Male,4,Mobile App,Weekly,No
18-25,Female,2,Website,Weekly,No
36-50,Other,2,Email,Monthly,No
36-50,Female,5,Email,Daily,Yes
36-50,Male,3,Website,Daily,No
36-50,Female,2,Email,Monthly,Yes
50+,Male,1,Mobile App,Daily,Yes
26-35,Female,5,Email,Rarely,No
Under 18,Other,4,Mobile App,Weekly,Yes
36-50,Female,5,Website,Monthly,No
18-25,Female,4,Mobile App,Monthly,No
36-50,Male,5,Email,Daily,Yes
18-25,Male,5,Email,Monthly,Yes
18-25,Male,5,Email,Rarely,Yes
36-50,Female,4,Website,Daily,Yes
50+,Other,4,Website,Daily,No
18-25,Male,5,Email,Daily,No
18-25,Male,2,Mobile App,Daily,No
36-50,Female,3,Website,Rarely,Yes
18-25,Male,3,Email,Daily,Yes
18-25,Other,3,Email,Monthly,Yes
36-50,Other,4,Website,Rarely,No
36-50,Male,4,Website,Weekly,Yes
Under 18,Male,2,Website,Weekly,No
50+,Female,3,Mobile App,Monthly,Yes
50+,Other,3,Mobile App,Monthly,No
18-25,Other,5,Email,Rarely,No
50+,Male,4,Website,Weekly,Yes
18-25,Female,3,Mobile App,Weekly,Yes
Under 18,Other,2,Website,Weekly,No
36-50,Other,2,Email,Weekly,No
36-50,Female,3,Mobile App,Weekly,Yes
36-50,Female,4,Mobile App,Daily,Yes
50+,Other,2,Mobile App,Monthly,No
Under 18,Other,5,Email,Daily,Yes
50+,Female,2,Website,Weekly,No
50+,Other,1,Mobile App,Rarely,No
Under 18,Male,1,Email,Rarely,Yes
Under 18,Male,4,Website,Weekly,Yes
Under 18,Female,3,Email,Weekly,Yes
Under 18,Female,4,Website,Rarely,Yes
36-50,Female,4,Email,Daily,Yes
26-35,Male,4,Website,Daily,No
26-35,Other,4,Mobile App,Weekly,No
Under 18,Male,5,Website,Daily,Yes
26-35,Other,5,Email,Rarely,Yes
26-35,Male,2,Email,Daily,Yes
Under 18,Other,1,Website,Weekly,No
26-35,Male,4,Mobile App,Rarely,Yes
50+,Female,2,Mobile App,Daily,Yes
18-25,Male,1,Website,Monthly,No
18-25,Other,3,Website,Rarely,No
Under 18,Male,5,Email,Rarely,Yes
36-50,Male,1,Mobile App,Monthly,Yes
Under 18,Male,3,Website,Monthly,Yes
36-50,Female,1,Mobile App,Rarely,No
18-25,Male,5,Website,Monthly,Yes
Under 18,Female,5,Website,Weekly,Yes
50+,Female,2,Mobile App,Weekly,Yes
26-35,Male,4,Website,Weekly,No
36-50,Male,1,Website,Rarely,No
26-35,Male,1,Email,Monthly,Yes
26-35,Other,3,Website,Monthly,Yes
Under 18,Male,5,Website,Daily,No
26-35,Female,1,Website,Daily,No
50+,Male,5,Email,Monthly,No
26-35,Other,1,Mobile App,Monthly,No
Under 18,Male,2,Email,Monthly,No
50+,Other,4,Email,Rarely,No
18-25,Other,1,Mobile App,Monthly,No
26-35,Male,5,Email,Daily,No
Under 18,Female,2,Mobile App,Rarely,No
18-25,Other,1,Email,Monthly,Yes
